word,meaning,Tag1,Tag2,Tag3
ADS,ADS（Aim Down Sight）：サイトを覗いて狙うこと。,apex,,
リコイル制御,リコイル制御：銃の反動を抑えて弾を当てる技術,apex,,
トラッキング,トラッキング：敵の動きに合わせて照準を追い続ける技術。,apex,,
エリアコントロール（Area Control）, グレネードやアビリティで敵の動きを制限する戦術。,apex,,
ホライゾン,・リフトは、3枚からは撃たれるな！<br>・リフトは、中盤決め切る際に使うか、一枚落として投げで使うか。<br>・レレレは大きめにする。<br>・リフトは見えないところから開始<br>・敵がドア前にいたらすぐにホライゾンウルトを投げる！<br>・ホライゾンウルトは、味方への吸い付きは敵より弱い。<br>・グレネードは、アークスター,apex,,
オクタン,■基本的な立ち回り<br>・仲間が攻めていて詰めるとき⇒ジャンプパッドで急いで詰める<br>・ 仲間が打ち合ってるとき⇒最速で興奮剤で急いでカバーする。<br>・ 最速展開・有利ポジどりを意識する<br>・ 最速で引く判断※漁夫や漁夫の漁夫が来たとき<br>・ 一瞬で詰める判断（大ダメージを与えたとき。ただ詰めるときは敵の位置を考えること）※詰めるときにリロードしたりやグレネードを投げたりする<br>・ ジャンプパッドは基本的には、きっかけがない状態で敵の方向に詰めない。きっかけがない場合は、ジャンプパッドで相手より上の場所に行って起点を作る。<br>・ 敵がやり合ってて詰める際は状況を理解して詰めること。※キルログを見て例えば右と左をみて右が左を落とした場合左が弱いので左を先につぶすために、右のパーティーと挟むようにしてまず左の弱いパーティーをつぶす<br>■基本的な武器構成<br>・ AR+SMG※長物よりもいい※pcの場合はAR+SGでもOK。<br>・ グレネードを最低2つは持つようにする。なぜなら、ジャンパ飛んでる際に敵にダメージを与えれるかもしれないから。<br>■ 興奮剤の使い方<br>・ 興奮剤は移動のために使いすぎない<br>・ スローがかかったら即興奮剤<br>■スキャン解放時<br>・ 青の時⇒ジャンプパッドを開放する<br>・ 紫の時⇒2段ジャンプを開放する。※ショットガンを持ってる債はスライディングしてすぐに相手の方を向いて、ジャンプすると鋭い切り替えしができる。<br>■赤ジャンパのテクニック4選<br>・ 上り動作無効化ジャンパ※スライディングする瞬間に飛びたい方向を向いておく）<br>・ 垂直奇襲ジャンパ※真上にジャンパ投げた瞬間にバッテリー巻いて垂直飛びして上取る）<br>・ 三段跳びジャンパ（壁にへばりつくタイミングでジャンプすると飛距離伸びる）<br>・ 無限ジャンプのやり方⇒ジャンプパッドに乗って、ジャンプパッドを見続ける⇒「L1でダブルジャンプ」の表示が出たらすぐに「L1」ボタンを押下する。<br>■ジャンプパッドの使い方<br>・ ドアロックの相手の対処⇒ドアの前にジャンプパッドを置く（相手が飛び跳ねる）⇒ドアを開ける（ドアを開けるとジャンプパッドが壊れる）⇒詰める<br>・ 見方がダウンしたとき⇒味方に（逃げる方向に）ジャンプパッドを投げる⇒自分もジャンプパッドに乗り救出する。<br>■最弱オクタンの特徴<br>・ 自分が見方からカバーできないところに最速で詰めに行って敵から集中砲火される人。,apex,,
クリプト,■パーク<br>・ レベール２パークがドローン利用時に透明になる<br>・ レベル3パーク⇒①スキャン時間が1.5秒継続。アルティメット命中で敵を4秒間スキャン実行。②ドローンのリチャージ速度が上昇。爆発時に移動速度をブースト。<br>・ レベル2が右、レベル３が左でいい。<br>■立ち回り<br>・ リコンキャラなので、敵の位置をしっかり見る。<br>・ ドローンをこまめに回収して移動する※50～60メートル間隔くらい<br>・ 右上をしっかり見て周辺に何部隊いるのかを確認する※垂れ幕はしなくて良いかも<br>・ 戦闘がおわったらすぐドローン投げて部隊確認<br>・ ウル促は、2つくらい持つ。<br>・ ウルトを当て終わったら下に向けておくこと。<br>・ [クリプトのEMP（ドローンEMP）は、味方にも影響を与えます。具体的には、味方にはダメージは与えませんが、スロウ効果（動きが遅くなる効果）は適用されます]<br>■猫の近道流立ち回り<br>・ レイスを一列目とするなら2列目で戦う。日常的に1列目で戦うがビーコンを読んだりブーストするので1.5列目や2列目に徐々に下がっていくから。<br>・ ①敵と対面した瞬間ドローンではなく、目で索敵して中距離で削りをいれ、ドローンが削られないようピークの頭数を減らす。②ドローンを投げてEMPをなげる準備を開始する。そのあと自然と2列目になり相手が削られたところでブースト。<br>・ EMP後のドローンを置いておくのは①上から見張らせる場合。②ガラス越しに見れる場合③中距離に敵から撃たれないところにドローン設置しておく場合<br>・ 1vs1のときはドローンをだしておとりとして使う※相手の位置もわかるため一石二鳥。<br>・ EMPをするときのコツ①仲間に合わせる※EMP打ったあとに仲間がせめるイメージ。②壊せないルートであてる。<br>・ カウンターウルト①自分が削られて敵が詰めてくるときはリブート炊いた瞬間に、バッテリー巻いておいて体力に有利差を作る。,apex,,
ヴァンテージ,■おすすめ武器構成<br>中距離＋近距離⇒全距離対応できる。,apex,,
apexハンマーの取り方,・回復を多く持つ。<br>・ 甘えている敵で少しずつ稼ぐ。<br>・ 敵を倒しすぎない<br>・ ガン詰めされたらだるいので、中距離のエイムでわからせて、有利位置を意識して詰められないようにする。<br><br>へムロック、カービン、フラットライン、ネメシスなどの中距離武器でどれだけ相手に当てられるかで決まる。<br>3部隊2000からでもダブハン取れる！<br><br>・ 10部隊までに最低1000ダメージを目標にする。<br>・終盤戦（5部隊以下）<br><br>・ 近い距離で撃ち合う時は、被弾をしないように意識する。詰められなければずっと撃ち合い続けられる。<br>・ 一定の距離を保ち続けることが大切。<br><br>・ ジグザグ走行(撃った後詰める時)<br>・ 不規則レレレ<br>・ ジャンプ撃ち(大岩や建物から降りながら)<br>・ ジャンプ撃ち→スライディング(斜線を切ったり、リロードしたり)<br>・ ジップハイジャンプ(コツは足が地面についた状態で)<br>・ 無限壁じゃん(壁が時で撃ち合う時)<br>ジップハイジャンプコツ→シババ！,apex,,
ポストプレー,FWなどの前線の選手が、相手ゴールに背を向けた状態でボールを受け、味方にパスを出したり、自分が反転してシュートを狙ったりするプレー。自分を「ポスト（柱）」に見立てることから。,soccer,,
バイタルエリア ,相手ゴール前のDFとMFの間のスペース。ここを使われると得点されやすいため、攻防の重要地点となります。,soccer,,
ダービーマッチ (Derby) ,同じ地域や本拠地を持つチーム同士の対戦。「伝統の一戦」の意味で使われることもあります（例：マンチェスター・ダービー、大阪ダービー）。,soccer,,
ジャイアントキリング (Giant Killing) ,格下のチームが格上の強豪チームに勝つこと。「番狂わせ」。,soccer,,
クリーンシート (Clean Sheet) ,無失点で試合を終えること。「完封」。,soccer,,
アーセナルFC (Arsenal FC),"イングランド・プレミアリーグの名門、アーセナルFC (Arsenal FC) についての豆知識、専門用語、そして注目選手をまとめました。<br>現在（ミケル・アルテタ監督体制）は、リーグ屈指の強豪として復活し、非常に人気のあるチームです。<br>■チームの基礎知識・豆知識<br>① 愛称は「ガナーズ (The Gunners)」<br>由来: アーセナルはもともと、ロンドンのウーリッジにあった「王立兵器工場（ロイヤル・アーセナル）」の労働者たちによって創設されました。<br>エンブレム: そのため、エンブレムには**大砲（Cannon）**が描かれています。選手やチームのことを「ガナーズ」と呼びます。<br>② ファンは「グーナー (Gooners)」<br>チームの愛称は「ガナーズ」ですが、サポーターのことは「グーナー」と呼びます。<br>由来は、過去のフーリガン的な集団「Goon Squad」と「Gunners」が混ざった等の説がありますが、現在は誇りあるファンの呼称です。<br>③ 伝説の無敗優勝「インビンシブルズ (The Invincibles)」<br>2003・04シーズンに達成した**リーグ戦無敗優勝（26勝12分0敗）**は、プレミアリーグ史上唯一の記録です。<br>当時のチーム（アンリ、ベルカンプ、ヴィエラなど）は「インビンシブルズ（無敵の者たち）」と呼ばれ、今でも伝説として語り継がれています。<br>④ スタジアムの移転<br>かつては「ハイバリー」という美しいスタジアムを使用していましたが、2006年に現在の「エミレーツ・スタジアム」へ移転しました。ロンドン最大級の収容人数（約6万人）を誇ります。<br><br>■現在の主要メンバーと注目選手<br>現在のアーセナルは「若い才能」と「戦術的な規律」が融合した、見ていて非常に面白いチームです。<br>監督：ミケル・アルテタ (Mikel Arteta)<br>元アーセナルのキャプテン。ペップ・グアルディオラ（マンC監督）の弟子であり、非常に緻密な戦術家。低迷していたチームを優勝争いができる常勝軍団へ再建しました。<br>① マルティン・ウーデゴール (Martin Ødegaard) / MF<br>役割: キャプテン / 司令塔<br>特徴: 「魔法使い」。圧倒的なテクニックと戦術眼で攻撃を指揮します。守備のスイッチを入れるプレスも強烈。チームの心臓です。<br>② ブカヨ・サカ (Bukayo Saka) / FW<br>役割: エース / ""スターボーイ""<br>特徴: アカデミー出身の生え抜きスーパースター。右サイドからのドリブル突破、得点、アシストすべてが高水準。愛くるしい笑顔も人気です。<br>③ デクラン・ライス (Declan Rice) / MF<br>役割: 中盤の要<br>特徴: 守備力、推進力、リーダーシップを兼ね備えたモンスター級のMF。彼がいるだけで中盤が安定します。<br>④ ウィリアム・サリバ (William Saliba) / DF<br>役割: 守備の要<br>特徴: 「ロールス・ロイス」と例えられるほど、優雅で冷静沈着なセンターバック。対人戦でほとんど負けることがなく、現代世界最高峰のDFの一人です。<br>⑤ カイ・ハヴァーツ (Kai Havertz) / FW・MF<br>役割: 前線の万能選手<br>特徴: 背が高く、テクニックもあり、どこにでも顔を出す不思議な選手。加入当初は批判もありましたが、現在は重要な得点源として愛されています。チャント（応援歌）が非常に人気です（「Waka Waka」のリズム）。<br>⑥エベレチ・エゼ (Eberechi Eze)<br>ポジション: 攻撃的MF / ウイング<br>国籍: イングランド代表<br>⑦ヴィクトル・ギェケレシュ (Viktor Gyökeres)<br>国籍: スウェーデン<br>ポジション: FW (ストライカー)<br>年齢: 26歳 (2025年現在)",soccer,,
